song,artist,type,guitar_1st,guitar_2nd,genre,unplugged,technique,energy,mastery,Context,PRO
Addison's Walk*,Phil Keaggy,acoustic,gentle,baritone,instrumental,yes,fingerstyle,3,42,general,unknown
Annie's Song,John Denver,loop w FX,strum,gentle,classic hits,yes,fingerstyle,4,28,general,ASCAP
As Warm As Tears*,Phil Keaggy,acoustic,baritone,gentle,instrumental,yes,fingerstyle,1,50,general,unknown
Beginnings,Chicago,acoustic,strum,gentle,classic hits,yes,strum,7,50,general,unknown
Behind Blue Eyes,The Who,loop w FX,strum,gentle,classic hits,yes,strum,5,15,general,BMI
Beyond Justice to Mercy,Susan Ashton,acoustic,gentle,gentle,christian,yes,fingerstyle,4,30,general,unknown
Birthday,Beatles,acoustic,baritone,variax,classic hits,yes,strum,10,28,general,unknown
Blackbird,Beatles,acoustic,gentle,gentle,classic hits,yes,fingerstyle,4,50,general,unknown
Brandy,Looking Glass,loop w FX,variax,variax,classic hits,no,strum,8,30,general,unknown
Came The Light,Will Spicher,backtrack,gentle,gentle,original,no,fingerstyle,4,28,general,unknown
Candace' Song,Will Spicher,backtrack,gentle,gentle,original,no,fingerstyle,4,28,general,unknown
Cats In The Cradle,Harry Chapin,acoustic,gentle,gentle,classic hits,yes,fingerstyle,3,28,general,unknown
Cheering You On,Will Spicher,loop w FX,gentle,strum,original,no,both,7,28,general,unknown
Christmas Time Is Here,Vince Guaraldi,acoustic,baritone,gentle,instrumental,yes,fingerstyle,1,30,Christmas,unknown
Classical Gas*,Mason Williams,acoustic,baritone,gentle,instrumental,yes,fingerstyle,4,28,general,unknown
Crazy Little Thing Called Love,Queen,loop w FX,strum,gentle,classic hits,no,strum,8,30,general,unknown
Del's Bells*,Phil Keaggy,acoustic,gentle,baritone,instrumental,yes,fingerstyle,3,28,general,unknown
Do You Hear What I Hear,Christmas,acoustic,strum,gentle,Christmas,yes,strum,5,50,Christmas,unknown
Doctor My Eyes,Jackson Browne,loop w FX,strum,gentle,classic hits,yes,strum,7,35,general,unknown
Don't You Forget About Me,Simple Minds,loop w FX,strum,gentle,classic hits,no,strum,9,7,general,unknown
Dust In The Wind,Kansas,acoustic,baritone,variax,classic hits,yes,fingerstyle,5,30,general,unknown
